Sl No.,Latitude,Longitude,Ward,Street Name,Type_of_House,Presence_of_well_,Presence_of_overhead,Source_of_drinking,Processed_for_Drinking,Presence_of_farml,If_yes_chemical_f,Crops_grown_in_Na,Specify_the_veget,Fuel_used_for_cook,Vessel_largely_use,Use_of_insectmosq,Grey Water Discharge,Presence of Toilet,Presence_of_septi
494,11.342255,77.520105,9,Masammavur Pomman Veethi,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
495,11.339211,77.525683,9,Thasaiyar Veethi,Tiled (Ottu),Bore well,Yes,Open well,Nil,Yes,Yes,Other crops,Stick yam,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
496,11.348139,77.515183,9,Masammavur Pomman Veethi,Tiled (Ottu),Open well,No,Open well,Boiling,Yes,Yes,"Corn, Ground nut, Vegetables",Bitter guard,LPG,Pressure cooker,Yes,Farming/ Gardening,Yes,No
497,11.34287,77.519263,9,Masammavur Pomman Veethi,Tiled (Ottu),Open well,No,Open well,Nil,No,,Nil,,LPG,Pressure cooker,No,Directly to ground,Yes,No
498,11.339086,77.527211,9,Masammavur Pomman Veethi,Tiled (Ottu),Nil,No,Open well,Boiling,Yes,Yes,"Coconut, Other crops",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
499,,,9,Thasamputhur Kotthukarar Veethi,Tiled (Ottu),Open well,Yes,Panchayat water - Overhead tank,Nil,Yes,Yes,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
500,11.340537,77.525308,9,Thasamputhur Kotthukarar Veethi,Tiled (Ottu),Both,Yes,Panchayat water - Overhead tank,Nil,Yes,No/ Not known,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
501,11.339851,77.526073,9,Thasamputhur Kotthukarar Veethi,Tiled (Ottu),Open well,Yes,Panchyat water - Piped,Nil,No,,Nil,Nil,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
502,11.337516,77.519869,9,Masammavur Pomman Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Ground nut, Corn",Tomato,LPG,Pressure cooker,No,Directly to ground,No,No
503,11.340404,77.529517,9,Thasaiyar Veethi,Tiled (Ottu),Bore well,No,Panchyat water - Piped,Boiling,Yes,Yes,"Coconut, Other crops",Stick yam,LPG,Pressure cooker,Yes,Directly to ground,Yes,Yes
504,11.339367,77.52028,9,Masammavur Pomman Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Vegetables, Rice",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
505,11.340404,77.529517,9,Thasaiyar Veethi,Tiled (Ottu),Bore well,No,Panchyat water - Piped,Nil,No,,Nil,No,LPG,SS pot,No,Directly to ground,No,No
506,11.338822,77.526258,9,Thasamputhur Kotthukarar Veethi,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Boiling,Yes,Yes,Nil,Nil,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
507,11.339955,77.52626,9,Thasamputhur Kotthukarar Veethi,Tiled (Ottu),Bore well,No,Panchyat water - Piped,Nil,No,,Nil,No,LPG,SS pot,No,Directly to ground,No,No
508,11.337592,77.519955,9,Masammavur Pomman Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,Pressure cooker,No,Farming/ Gardening,No,No
509,11.339644,77.519842,9,Masammavur Pomman Veethi,Tiled (Ottu),Bore well,No,Panchyat water - Piped,Boiling,Yes,Yes,"Vegetables, Ground nut",Bottleguard,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
510,11.339529,77.52054,9,Masammavur Pomman Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Vegetables,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
511,11.339861,77.526099,9,Thasamputhur Kotthukarar Veethi,Tiled (Ottu),Both,Yes,Panchyat water - Piped,Boiling,Yes,Yes,Nil,Nil,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
512,11.341076,77.534728,9,Thasamputhur Kotthukarar Veethi,Tiled (Ottu),Open well,No,Open well,Nil,Yes,Yes,"Vegetables, Ground nut, Corn","Green chilli,ladies finger,tropica, bottle gaurd,bitter gaurd","LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
513,11.334138,77.513032,9,Aathikkattur Kamarajar Veethi,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,No/ Not known,"Vegetables, Ground nut, Corn","Tropical,bitterguard,","LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
